frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20,-1.2,-1.0,0.8,0.6,2.5,2.4,2.2,1.3,1.5,-0.2
25,-0.5,-0.3,1.2,1.0,2.8,2.7,2.5,2.3,2.5,-0.5
31.5,0.3,0.5,1.8,1.5,3.2,3.1,2.8,3.5,3.7,-1.0
40,0.8,1.0,2.0,1.8,3.0,2.9,2.6,3.8,4.0,-0.8
50,0.5,0.7,1.5,1.3,2.5,2.4,2.2,3.0,3.2,-0.5
63,0.2,0.3,1.0,0.8,2.0,1.9,1.8,2.2,2.3,-0.3
80,0.0,0.1,0.5,0.4,3.8,3.7,3.5,3.8,3.9,-0.1
100,0.5,0.4,0.2,0.1,3.0,2.9,2.8,3.5,3.4,-0.2
125,1.0,0.9,0.0,-0.1,2.2,2.1,2.0,3.2,3.0,0.0
160,1.5,1.3,0.3,0.1,1.5,1.4,1.3,3.0,2.8,0.2
200,1.2,1.1,0.5,0.3,0.8,0.7,0.6,2.0,1.8,0.3
250,0.8,0.9,0.8,0.7,-1.2,-1.3,-1.0,-0.4,-0.3,0.5
315,0.5,0.6,1.0,0.9,-1.8,-1.7,-1.5,-1.3,-1.2,0.5
400,0.3,0.4,1.2,1.1,-1.5,-1.5,-1.3,-1.2,-1.1,0.5
500,0.2,0.3,1.5,1.3,-1.5,-1.5,-1.0,-1.3,-1.2,0.5
630,0.5,0.4,1.3,1.2,-1.0,-1.0,-0.8,-0.5,-0.6,0.5
800,0.8,0.7,0.8,0.7,-0.5,-0.5,-0.3,0.3,0.2,0.5
1000,1.0,1.0,0.5,0.4,0.0,0.0,0.0,1.0,1.0,0.5
1250,1.2,1.1,0.2,0.1,0.2,0.2,0.3,1.4,1.3,0.5
1600,1.5,1.4,-0.2,-0.3,-0.6,-0.8,-0.5,0.9,0.8,0.5
2000,1.8,1.7,-0.5,-0.6,-0.8,-0.8,-0.6,1.0,0.9,0.5
2500,2.2,2.0,-0.8,-1.0,-0.5,-0.5,-0.3,1.7,1.5,0.5
3150,2.5,2.3,-0.5,-0.7,2.3,2.3,2.0,4.8,4.5,0.5
4000,2.0,2.1,-0.3,-0.2,2.5,2.5,2.2,4.5,4.3,0.5
5000,1.5,1.6,0.0,0.1,1.8,1.8,1.5,3.3,3.2,0.5
6300,1.2,1.3,0.3,0.4,1.0,1.0,0.8,2.2,2.1,0.3
8000,1.0,1.1,0.5,0.6,0.2,0.2,0.0,1.2,1.1,0.0
10000,0.8,0.9,0.8,0.9,-1.3,-1.3,-1.2,-0.5,-0.4,-0.3
12500,0.5,0.6,1.0,1.1,-1.5,-1.5,-1.3,-1.0,-0.9,-0.5
16000,0.2,0.3,1.2,1.3,-1.2,-1.2,-1.0,-1.0,-0.9,-0.8
20000,0.0,0.1,1.5,1.4,-1.0,-1.0,-0.8,-1.0,-0.9,-1.0
