frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20,0.5,0.6,1.2,1.0,2.0,1.9,1.8,2.5,2.6,-0.3
25,0.8,0.9,1.5,1.3,1.8,1.7,1.6,2.6,2.7,-0.2
31.5,1.0,1.1,1.8,1.6,1.5,1.4,1.3,2.5,2.6,-0.1
40,0.8,0.9,1.5,1.3,1.2,1.1,1.0,2.0,2.1,0.0
50,0.5,0.6,1.0,0.8,1.0,0.9,0.8,1.5,1.6,0.0
63,0.3,0.4,0.5,0.4,2.0,1.9,1.8,2.3,2.4,0.0
80,0.2,0.3,0.2,0.1,1.8,1.7,1.6,2.0,2.1,0.0
100,0.5,0.4,-0.2,-0.3,1.5,1.4,1.3,2.0,1.9,0.0
125,0.8,0.7,-0.5,-0.6,1.2,1.1,1.0,2.0,1.9,0.0
160,1.2,1.1,-0.8,-0.9,0.8,0.7,0.6,2.0,1.9,0.0
200,1.5,1.4,-1.0,-1.1,0.3,0.2,0.2,1.8,1.7,0.0
250,1.8,1.7,-1.2,-1.3,0.0,0.0,0.0,1.8,1.7,0.0
315,2.0,1.9,-1.0,-1.1,-0.2,-0.2,-0.2,1.8,1.7,0.0
400,2.2,2.1,-0.8,-0.9,-0.3,-0.3,-0.2,1.9,1.8,0.0
500,2.0,2.0,-0.5,-0.5,-0.5,-0.5,-0.3,1.5,1.5,0.0
630,1.8,1.8,-0.2,-0.2,-0.8,-0.8,-0.5,1.0,1.0,0.0
800,1.5,1.6,0.0,0.1,-1.0,-1.0,-0.8,0.5,0.6,0.0
1000,1.2,1.3,0.2,0.3,-0.5,-0.5,-0.3,0.7,0.8,0.0
1250,1.0,1.1,0.3,0.4,0.0,0.0,0.0,1.0,1.1,0.0
1600,0.8,0.9,0.0,0.1,0.2,0.2,0.2,1.0,1.1,0.0
2000,0.5,0.6,-0.3,-0.2,0.5,0.5,0.5,1.0,1.1,0.0
2500,0.3,0.4,-0.5,-0.4,1.0,1.0,0.8,1.3,1.4,0.0
3150,0.5,0.5,-0.2,-0.2,1.8,1.8,1.5,2.3,2.3,0.0
4000,1.0,1.0,0.3,0.3,1.5,1.5,1.3,2.5,2.5,0.0
5000,1.5,1.5,0.8,0.8,1.0,1.0,0.8,2.5,2.5,0.0
6300,2.0,2.0,1.5,1.5,-2.5,-2.5,-2.0,-0.5,-0.5,-0.3
8000,2.5,2.4,2.0,1.9,-1.5,-1.5,-1.2,1.0,0.9,-0.5
10000,2.0,2.1,1.8,1.9,-1.5,-1.5,-1.2,0.5,0.6,-0.8
12500,1.2,1.3,1.5,1.6,-1.2,-1.2,-1.0,0.0,0.1,-1.0
16000,0.5,0.6,1.2,1.3,-1.0,-1.0,-0.8,-0.5,-0.4,-1.2
20000,0.0,0.1,1.0,1.1,-0.8,-0.8,-0.6,-0.8,-0.7,-1.5
